Run,Baseline_IDI,GA_IDI,Baseline_Time,GA_Time,Baseline_AvgDiff,GA_AvgDiff
1,0.561,0.761,194.96085739135742,92.74750065803528,0.092345126,0.368305
2,0.578,0.749,200.15071296691895,94.52739477157593,0.102355294,0.3684197
3,0.543,0.775,176.1280505657196,100.67981338500977,0.090439804,0.34489983
4,0.545,0.789,178.8030128479004,97.69654607772827,0.09201999,0.44859987
5,0.565,0.726,163.5142753124237,95.36553239822388,0.09209209,0.2546446
6,0.569,0.706,162.39855027198792,91.60377526283264,0.089593284,0.3978417
7,0.549,0.721,184.9739556312561,90.1285011768341,0.09384579,0.42691717
8,0.558,0.772,191.6531949043274,104.0226981639862,0.099305265,0.45928204
9,0.569,0.735,172.60207080841064,108.64805316925049,0.09497253,0.30618465
10,0.559,0.721,179.0232696533203,94.26989459991455,0.09661951,0.4357313
11,0.575,0.758,163.9299259185791,94.57537484169006,0.09866767,0.48561814
12,0.581,0.719,153.51576709747314,60.0809907913208,0.10408058,0.4459109
13,0.577,0.749,152.9469587802887,58.56766676902771,0.09889273,0.41561723
14,0.533,0.69,154.4752299785614,57.3350043296814,0.08918695,0.34645268
15,0.559,0.715,187.800288438797,61.04704451560974,0.0953192,0.44953814
16,0.558,0.737,181.30938124656677,60.0323851108551,0.091701,0.42901298
17,0.537,0.748,181.67717385292053,61.93404841423035,0.09441414,0.43573248
18,0.554,0.752,182.99080228805542,62.48831272125244,0.09768634,0.46125072
19,0.553,0.735,160.64461469650269,61.633020639419556,0.094359756,0.41846707
20,0.574,0.671,161.78772687911987,63.56010413169861,0.09679232,0.4895483
21,0.553,0.76,165.159850358963,57.8532657623291,0.0961433,0.4586212
22,0.574,0.795,160.66940021514893,55.90567088127136,0.09776765,0.47391507
23,0.575,0.787,120.88262271881104,41.39817833900452,0.0994097,0.4473684
24,0.567,0.743,126.26275706291199,41.25139880180359,0.09603064,0.44361302
25,0.582,0.758,122.92169117927551,40.80367040634155,0.09873386,0.4021176
26,0.584,0.7,121.25219058990479,38.8040668964386,0.09881879,0.54021776
27,0.608,0.771,119.66271042823792,38.10278582572937,0.100369215,0.4428902
28,0.561,0.68,114.04044604301453,36.76047348976135,0.09135352,0.41906792
29,0.604,0.737,115.64378356933594,36.15221166610718,0.100755416,0.276151
30,0.588,0.749,110.75628280639648,34.65766429901123,0.104635894,0.4789707
