Run,Baseline_IDI,GA_IDI,Baseline_Time,GA_Time,Baseline_AvgDiff,GA_AvgDiff
1,0.476,0.639,133.05667328834534,73.39847803115845,0.07564369,0.3381472
2,0.515,0.6,130.35140252113342,85.86832928657532,0.077331915,0.15274242
3,0.531,0.672,113.84087014198303,101.69913005828857,0.07703072,0.17665836
4,0.495,0.665,116.77541208267212,100.36649680137634,0.07339531,0.24447578
5,0.525,0.624,111.45186257362366,82.59510779380798,0.07862124,0.1975568
6,0.487,0.601,106.72090601921082,65.83826065063477,0.074240685,0.1804757
7,0.517,0.522,132.94693994522095,81.65908622741699,0.075110026,0.113046646
8,0.538,0.741,131.7415623664856,93.5573320388794,0.07803292,0.2951251
9,0.497,0.683,115.39928841590881,95.9774239063263,0.076975144,0.28907624
10,0.515,0.656,120.71355700492859,89.00213074684143,0.07636278,0.2850879
11,0.533,0.685,112.03014421463013,92.79617595672607,0.079629704,0.2118284
12,0.494,0.626,102.84974408149719,82.12047028541565,0.07444392,0.22138807
13,0.547,0.675,104.46070098876953,80.71404123306274,0.08251366,0.23933312
14,0.499,0.683,106.11730861663818,79.10928392410278,0.07409084,0.25943476
15,0.534,0.662,125.56602954864502,84.63987421989441,0.07862387,0.20974459
16,0.53,0.631,125.2484860420227,90.94027256965637,0.08065704,0.1916535
17,0.481,0.597,124.93219900131226,94.49593687057495,0.0737684,0.14513391
18,0.511,0.618,119.32065606117249,84.35961389541626,0.07687898,0.15841039
19,0.472,0.64,123.39286708831787,86.28589200973511,0.07318812,0.23587355
20,0.507,0.629,126.4268250465393,93.00258827209473,0.07587506,0.2152968
21,0.502,0.687,126.95469260215759,86.74314451217651,0.076627,0.24630186
22,0.507,0.555,133.0369212627411,95.94960474967957,0.07575897,0.13275795
23,0.501,0.661,92.61348557472229,75.35142207145691,0.07592065,0.15833038
24,0.502,0.645,86.41644954681396,74.42968702316284,0.078006834,0.16057296
25,0.506,0.657,87.67609238624573,61.912933349609375,0.077484325,0.22888266
26,0.534,0.609,89.21918058395386,66.36845064163208,0.08069618,0.16732651
27,0.493,0.546,87.48046088218689,60.40971779823303,0.07707481,0.16684344
28,0.512,0.615,85.08246803283691,60.580554246902466,0.074023254,0.1924933
29,0.521,0.59,86.8719584941864,56.4034059047699,0.07614343,0.15783748
30,0.5,0.683,64.1211371421814,55.678096532821655,0.077956416,0.17501804
